,Date,HE,Area,MW
496,1/21/2023,24,RTO,901.052
497,1/22/2023,1,RTO,963.252
498,1/22/2023,2,RTO,1085.79
499,1/22/2023,3,RTO,1167.604
500,1/22/2023,4,RTO,1071.631
501,1/22/2023,5,RTO,934.742
502,1/22/2023,6,RTO,1069.656
503,1/22/2023,7,RTO,1209.911
504,1/22/2023,8,RTO,1497.18
505,1/22/2023,9,RTO,1443.339
506,1/22/2023,10,RTO,1350.37
507,1/22/2023,11,RTO,1203.038
508,1/22/2023,12,RTO,1227.465
509,1/22/2023,13,RTO,1068.706
510,1/22/2023,14,RTO,1054.413
511,1/22/2023,15,RTO,1136.632
512,1/22/2023,16,RTO,1379.928
513,1/22/2023,17,RTO,1593.042
514,1/22/2023,18,RTO,1362.225
515,1/22/2023,19,RTO,989.152
516,1/22/2023,20,RTO,1099.99
517,1/22/2023,21,RTO,1212.692
518,1/22/2023,22,RTO,1441.025
519,1/22/2023,23,RTO,1637.764
520,1/22/2023,24,RTO,1763.35
521,1/23/2023,1,RTO,1797.633
522,1/23/2023,2,RTO,2044.06
523,1/23/2023,4,RTO,3108.069
524,1/23/2023,5,RTO,3543.937
525,1/23/2023,6,RTO,3667.562
526,1/23/2023,7,RTO,3409.153
527,1/23/2023,8,RTO,3613.23
528,1/23/2023,9,RTO,3473.814
529,1/23/2023,10,RTO,3462.608
530,1/23/2023,11,RTO,3475.52
531,1/23/2023,12,RTO,3963.319
532,1/23/2023,13,RTO,4750.849
533,1/23/2023,14,RTO,5215.525
534,1/23/2023,15,RTO,5605.404
535,1/23/2023,16,RTO,5855.308
536,1/23/2023,17,RTO,5859.551
537,1/23/2023,18,RTO,5666.644
538,1/23/2023,19,RTO,6146.477
539,1/23/2023,20,RTO,6749.066
540,1/23/2023,21,RTO,7185.506
541,1/23/2023,22,RTO,7449.478
542,1/23/2023,23,RTO,7641.983
543,1/23/2023,24,RTO,7292.201
544,1/24/2023,1,RTO,6751.811
545,1/24/2023,2,RTO,6055.366
546,1/24/2023,3,RTO,5096.023
547,1/24/2023,4,RTO,4539.105
548,1/24/2023,5,RTO,4053.04
549,1/24/2023,6,RTO,3256.09
550,1/24/2023,7,RTO,2670.06
551,1/24/2023,8,RTO,2104.566
552,1/24/2023,9,RTO,1844.374
553,1/24/2023,10,RTO,1655.638
554,1/24/2023,11,RTO,1499.769
555,1/24/2023,12,RTO,1423.706
556,1/24/2023,13,RTO,1302.263
557,1/24/2023,14,RTO,1311.716
558,1/24/2023,15,RTO,887.335
559,1/24/2023,16,RTO,469.976
560,1/24/2023,17,RTO,306.861
561,1/24/2023,18,RTO,246.88
562,1/24/2023,19,RTO,231.641
563,1/24/2023,20,RTO,237.186
564,1/24/2023,21,RTO,399.029
565,1/24/2023,22,RTO,575.915
566,1/24/2023,23,RTO,911.292
567,1/24/2023,24,RTO,1340.777
568,1/25/2023,1,RTO,1571.859
569,1/25/2023,2,RTO,1739.965
570,1/25/2023,3,RTO,2001.526
571,1/25/2023,4,RTO,2033.419
572,1/25/2023,5,RTO,2635.756
573,1/25/2023,6,RTO,3280.295
574,1/25/2023,7,RTO,3804.459
575,1/25/2023,8,RTO,4018.775
576,1/25/2023,9,RTO,5048.282
577,1/25/2023,10,RTO,5468.864
578,1/25/2023,11,RTO,5274.879
579,1/25/2023,12,RTO,4944.46
580,1/25/2023,13,RTO,4717.685
581,1/25/2023,14,RTO,4674.585
